  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4418                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -16.000  -1.4841   0.00000  -0.00178  -0.0780   0.0000   0.0000
 -15.500  -1.4220   0.00000  -0.00177  -0.0788   0.0000   0.0000
 -15.000  -1.3598   0.00000  -0.00177  -0.0797   0.0000   0.0000
 -14.500  -1.2974   0.00000  -0.00176  -0.0806   0.0000   0.0000
 -14.000  -1.2350   0.00000  -0.00175  -0.0815   0.0000   0.0000
 -13.500  -1.1725   0.00000  -0.00174  -0.0824   0.0000   0.0000
 -13.000  -1.1099   0.00000  -0.00174  -0.0834   0.0000   0.0000
 -12.500  -1.0472   0.00000  -0.00173  -0.0843   0.0000   0.0000
 -12.000  -0.9844   0.00000  -0.00172  -0.0853   0.0000   0.0000
 -11.500  -0.9216   0.00000  -0.00172  -0.0863   0.0000   0.0000
 -11.000  -0.8587   0.00000  -0.00171  -0.0873   0.0000   0.0000
 -10.500  -0.7957   0.00000  -0.00171  -0.0884   0.0000   0.0000
 -10.000  -0.7326   0.00000  -0.00170  -0.0894   0.0000   0.0000
  -9.500  -0.6695   0.00000  -0.00170  -0.0905   0.0000   0.0000
  -9.000  -0.6064   0.00000  -0.00169  -0.0916   0.0000   0.0000
  -8.500  -0.5432   0.00000  -0.00169  -0.0927   0.0000   0.0000
  -8.000  -0.4800   0.00000  -0.00169  -0.0938   0.0000   0.0000
  -7.500  -0.4167   0.00000  -0.00168  -0.0949   0.0000   0.0000
  -7.000  -0.3534   0.00000  -0.00168  -0.0961   0.0000   0.0000
  -6.500  -0.2901   0.00000  -0.00168  -0.0972   0.0000   0.0000
  -6.000  -0.2267   0.00000  -0.00168  -0.0984   0.0000   0.0000
  -5.500  -0.1633   0.00000  -0.00167  -0.0996   0.0000   0.0000
  -5.000  -0.1000   0.00000  -0.00167  -0.1008   0.0000   0.0000
  -4.500  -0.0366   0.00000  -0.00167  -0.1020   0.0000   0.0000
  -4.000   0.0268   0.00000  -0.00167  -0.1032   0.0000   0.0000
  -3.500   0.0902   0.00000  -0.00167  -0.1045   0.0000   0.0000
  -3.000   0.1536   0.00000  -0.00167  -0.1057   0.0000   0.0000
  -2.500   0.2170   0.00000  -0.00167  -0.1070   0.0000   0.0000
  -2.000   0.2803   0.00000  -0.00167  -0.1083   0.0000   0.0000
  -1.500   0.3437   0.00000  -0.00168  -0.1096   0.0000   0.0000
  -1.000   0.4070   0.00000  -0.00168  -0.1109   0.0000   0.0000
  -0.500   0.4702   0.00000  -0.00168  -0.1122   0.0000   0.0000
   0.000   0.5335   0.00000  -0.00168  -0.1135   0.0000   0.0000
   0.500   0.5967   0.00000  -0.00169  -0.1148   0.0000   0.0000
   1.000   0.6598   0.00000  -0.00169  -0.1162   0.0000   0.0000
   1.500   0.7229   0.00000  -0.00169  -0.1175   0.0000   0.0000
   2.000   0.7860   0.00000  -0.00170  -0.1189   0.0000   0.0000
   2.500   0.8490   0.00000  -0.00170  -0.1202   0.0000   0.0000
   3.000   0.9119   0.00000  -0.00171  -0.1216   0.0000   0.0000
   3.500   0.9748   0.00000  -0.00171  -0.1230   0.0000   0.0000
   4.000   1.0375   0.00000  -0.00172  -0.1244   0.0000   0.0000
   4.500   1.1003   0.00000  -0.00173  -0.1258   0.0000   0.0000
   5.000   1.1629   0.00000  -0.00173  -0.1271   0.0000   0.0000
   5.500   1.2254   0.00000  -0.00174  -0.1285   0.0000   0.0000
   6.000   1.2878   0.00000  -0.00175  -0.1300   0.0000   0.0000
   6.500   1.3502   0.00000  -0.00176  -0.1314   0.0000   0.0000
   7.000   1.4124   0.00000  -0.00176  -0.1328   0.0000   0.0000
   7.500   1.4746   0.00000  -0.00177  -0.1342   0.0000   0.0000
   8.000   1.5366   0.00000  -0.00178  -0.1356   0.0000   0.0000
   8.500   1.5985   0.00000  -0.00179  -0.1370   0.0000   0.0000
   9.000   1.6603   0.00000  -0.00180  -0.1385   0.0000   0.0000
   9.500   1.7219   0.00000  -0.00181  -0.1399   0.0000   0.0000
  10.000   1.7834   0.00000  -0.00182  -0.1413   0.0000   0.0000
  10.500   1.8448   0.00000  -0.00183  -0.1428   0.0000   0.0000
  11.000   1.9061   0.00000  -0.00184  -0.1442   0.0000   0.0000
  11.500   1.9672   0.00000  -0.00185  -0.1456   0.0000   0.0000
  12.000   2.0281   0.00000  -0.00186  -0.1471   0.0000   0.0000
  12.500   2.0889   0.00000  -0.00187  -0.1485   0.0000   0.0000
  13.000   2.1496   0.00000  -0.00188  -0.1499   0.0000   0.0000
  13.500   2.2100   0.00000  -0.00190  -0.1514   0.0000   0.0000
  14.000   2.2704   0.00000  -0.00191  -0.1528   0.0000   0.0000
  14.500   2.3305   0.00000  -0.00192  -0.1542   0.0000   0.0000
  15.000   2.3904   0.00000  -0.00193  -0.1556   0.0000   0.0000
  15.500   2.4502   0.00000  -0.00194  -0.1570   0.0000   0.0000
  16.000   2.5098   0.00000  -0.00196  -0.1585   0.0000   0.0000
